open_dt,open_price,close_dt,close_price,pnl_pts
2024-01-23 04:00:00,17456.5000,2024-01-23 04:15:00,17456.0000,-0.5000
2024-01-25 20:45:00,17519.7500,2024-01-25 21:00:00,17529.7500,10.0000
2024-02-13 15:30:00,17623.7500,2024-02-13 15:45:00,17680.5000,56.7500
2024-02-25 20:15:00,17945.7500,2024-02-25 20:30:00,17955.0000,9.2500
2024-03-04 19:00:00,18233.5000,2024-03-04 19:15:00,18224.0000,-9.5000
2024-03-04 19:30:00,18224.0000,2024-03-04 19:45:00,18224.2500,0.2500
2024-03-04 21:00:00,18204.7500,2024-03-04 21:15:00,18198.0000,-6.7500
2024-03-05 04:15:00,18152.7500,2024-03-05 04:30:00,18139.7500,-13.0000
2024-03-05 15:30:00,17874.2500,2024-03-05 15:45:00,17931.7500,57.5000
2024-03-15 13:00:00,18039.2500,2024-03-15 13:15:00,18050.2500,11.0000
